sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_2035_r0	TNF	6886.6	1735.3	6886.6	1735.3	-1.988	1.3268e+07	49255	23.211	1.7708e-119	1	3.5417e-119	1.0359e-115	False
s_2033_r0	TNF	9095.1	3646.3	9095.1	3646.3	-1.3184	1.4845e+07	68344	20.843	8.9121e-97	1	1.7824e-96	2.6068e-93	False
s_2040_r0	TNFAIP3	3756	6097.9	3756	6097.9	0.69896	2.7422e+06	24157	15.068	1	1.3217e-51	2.6433e-51	2.5772e-48	True
s_2034_r0	TNF	2807.3	915.41	2807.3	915.41	-1.6156	1.7896e+06	17169	14.439	1.4803e-47	1	2.9606e-47	2.165e-44	False
s_2230_r0	ZFP36	2948.4	4720.3	2948.4	4720.3	0.67877	1.5698e+06	18185	13.14	1	9.7501e-40	1.95e-39	1.1408e-36	True
s_2039_r0	TNFAIP3	3372.8	5151.9	3372.8	5151.9	0.61102	1.5826e+06	21291	12.193	1	1.6965e-34	3.393e-34	1.6541e-31	True
s_1950_r0	TICAM2	5650.1	3294	5650.1	3294	-0.77826	2.7757e+06	39026	11.927	4.2921e-33	1	8.5842e-33	3.587e-30	False
s_2037_r0	TNFAIP3	2395.1	3757.1	2395.1	3757.1	0.6493	9.275e+05	14255	11.407	1	1.9187e-30	3.8374e-30	1.4031e-27	True
s_2231_r0	ZFP36	3522.7	5187	3522.7	5187	0.55807	1.3849e+06	22406	11.118	1	5.1009e-29	1.0202e-28	3.3156e-26	True
s_2001_r0	TMED7-TICAM2	6144.5	3849.9	6144.5	3849.9	-0.67433	2.6325e+06	43072	11.056	1.0227e-28	1	2.0454e-28	5.9828e-26	False
s_2401_r0	Non-Targeting Control	2831.7	4272.5	2831.7	4272.5	0.59322	1.0379e+06	17344	10.94	1	3.7168e-28	7.4336e-28	1.9767e-25	True
s_1342_r0	NFKBIZ	4589.2	2714.7	4589.2	2714.7	-0.75725	1.7569e+06	30563	10.722	3.9938e-27	1	7.9876e-27	1.947e-24	False
s_1167_r0	MAP3K8	4648.1	2817.4	4648.1	2817.4	-0.72208	1.6757e+06	31024	10.394	1.3261e-25	1	2.6521e-25	5.9673e-23	False
s_1629_r0	RC3H1	2766.2	4106.7	2766.2	4106.7	0.56991	8.9849e+05	16875	10.319	1	2.8804e-25	5.7608e-25	1.2036e-22	True
s_976_r0	IRF8	4000.4	2346.2	4000.4	2346.2	-0.76959	1.3683e+06	26012	10.257	5.5103e-25	1	1.1021e-24	2.149e-22	False
s_974_r0	IRF8	5649	3754.4	5649	3754.4	-0.58928	1.7948e+06	39017	9.5917	4.3336e-22	1	8.6671e-22	1.5845e-19	False
s_2229_r0	ZFP36	1666.4	2464.2	1666.4	2464.2	0.56412	3.1826e+05	9324.6	8.2622	1	7.1534e-17	1.4307e-16	2.4616e-14	True
s_1972_r0	TLR2	434.37	798.28	434.37	798.28	0.87645	66214	1948.5	8.244	1	8.3268e-17	1.6654e-16	2.7062e-14	True
s_1344_r0	NFKBIZ	3748.3	2511.1	3748.3	2511.1	-0.57773	7.6532e+05	24098	7.9698	7.9472e-16	1	1.5894e-15	2.4469e-13	False
s_1945_r0	TICAM1	4728.1	3381.4	4728.1	3381.4	-0.48351	9.0676e+05	31653	7.5693	1.8763e-14	1	3.7526e-14	5.4882e-12	False
s_1233_r0	MITF	2907.3	3879.7	2907.3	3879.7	0.41614	4.7276e+05	17888	7.2704	1	1.7926e-13	3.5852e-13	4.9937e-11	True
s_1331_r0	NFKBIA	4094.9	2990.4	4094.9	2990.4	-0.45335	6.0993e+05	26734	6.7549	7.1453e-12	1	1.4291e-11	1.9e-09	False
s_553_r0	DUSP1	2963.9	3864.3	2963.9	3864.3	0.3826	4.0537e+05	18297	6.6565	1	1.4022e-11	2.8043e-11	3.5664e-09	True
s_1168_r0	MAP3K8	4373.7	3254.4	4373.7	3254.4	-0.42636	6.2644e+05	28884	6.586	2.2587e-11	1	4.5175e-11	5.5057e-09	False
s_1458_r0	PELI1	4020.4	2990.4	4020.4	2990.4	-0.42689	5.3049e+05	26165	6.3679	9.5811e-11	1	1.9162e-10	2.242e-08	False
s_949_r0	IRF1	3586.1	2642.6	3586.1	2642.6	-0.44029	4.4505e+05	22879	6.2374	2.2248e-10	1	4.4496e-10	5.0058e-08	False
s_1234_r0	MITF	4652.5	5726.7	4652.5	5726.7	0.29963	5.769e+05	31059	6.0949	1	5.4737e-10	1.0947e-09	1.186e-07	True
s_2470_r0	Non-Targeting Control	1312	814.5	1312	814.5	-0.68712	1.2375e+05	7052.3	5.9242	1.5691e-09	1	3.1381e-09	3.2782e-07	False
s_1976_r0	TLR4	2720.6	1977.7	2720.6	1977.7	-0.45995	2.7601e+05	16550	5.7754	3.8396e-09	1	7.6791e-09	7.7453e-07	False
s_1329_r0	NFKBIA	4285.9	3337.3	4285.9	3337.3	-0.36085	4.4999e+05	28205	5.6487	8.0811e-09	1	1.6162e-08	1.5758e-06	False
s_1973_r0	TLR4	2931.7	2186.7	2931.7	2186.7	-0.42282	2.7753e+05	18064	5.5431	1.4854e-08	1	2.9708e-08	2.8031e-06	False
s_554_r0	DUSP1	3768.2	4623.9	3768.2	4623.9	0.29514	3.6606e+05	24249	5.4947	1	1.9571e-08	3.9142e-08	3.5778e-06	True
s_1828_r0	SLITRK4	1464.2	1920.9	1464.2	1920.9	0.39145	1.0429e+05	8016.6	5.1009	1	1.6898e-07	3.3796e-07	2.9955e-05	True
s_2156_r0	UQCRH	5025.8	4087.8	5025.8	4087.8	-0.29797	4.3994e+05	34007	5.0866	1.823e-07	1	3.6461e-07	3.1367e-05	False
s_1165_r0	MAP3K8	4648.1	3769.7	4648.1	3769.7	-0.3021	3.8575e+05	31024	4.9867	3.0702e-07	1	6.1404e-07	5.1316e-05	False
s_556_r0	DUSP1	3371.6	4080.6	3371.6	4080.6	0.27525	2.513e+05	21283	4.8595	1	5.8827e-07	1.1765e-06	9.5594e-05	True
s_1975_r0	TLR4	1027.6	678.45	1027.6	678.45	-0.59826	60955	5303.4	4.7945	8.1533e-07	1	1.6307e-06	0.00012891	False
s_875_r0	IKZF1	2631.8	2042.5	2631.8	2042.5	-0.36551	1.736e+05	15918	4.6702	1.5042e-06	1	3.0085e-06	0.00023157	False
s_555_r0	DUSP1	2762.9	3367	2762.9	3367	0.28521	1.8249e+05	16851	4.654	1	1.6281e-06	3.2562e-06	0.00024421	True
s_1949_r0	TICAM2	1113.1	758.63	1113.1	758.63	-0.55256	62839	5821.6	4.6463	1.6897e-06	1	3.3795e-06	0.00024712	False
s_338_r0	CFD	2205.2	2731.8	2205.2	2731.8	0.30883	1.3867e+05	12940	4.6294	1	1.8335e-06	3.667e-06	0.00026161	True
s_1055_r0	KRT10	428.82	627.09	428.82	627.09	0.54725	19656	1919.6	4.5254	1	3.0146e-06	6.0292e-06	0.00041989	True
s_1951_r0	TICAM2	4815.8	4007.6	4815.8	4007.6	-0.26499	3.2663e+05	32344	4.4941	3.493e-06	1	6.986e-06	0.00047521	False
s_939_r0	IRAK2	4510.3	3783.3	4510.3	3783.3	-0.25355	2.6433e+05	29947	4.2015	1.3256e-05	0.99999	2.6512e-05	0.0017625	False
s_1192_r0	MAPKAPK2	2991.7	2432.7	2991.7	2432.7	-0.29832	1.5626e+05	18498	4.1103	1.9756e-05	0.99998	3.9513e-05	0.0025683	False
s_651_r0	FLI1	3593.8	2977.8	3593.8	2977.8	-0.27121	1.8976e+05	22937	4.0677	2.3735e-05	0.99998	4.7471e-05	0.0029663	False
s_1718_r0	RPSA	3872.7	3229.1	3872.7	3229.1	-0.2621	2.0706e+05	25039	4.0668	2.3832e-05	0.99998	4.7663e-05	0.0029663	False
s_2232_r0	ZFP36	3438.3	4035.5	3438.3	4035.5	0.231	1.7834e+05	21777	4.0471	0.99997	2.5927e-05	5.1855e-05	0.0031599	True
s_2289_r0	MAF	4514.8	3819.3	4514.8	3819.3	-0.24129	2.4185e+05	29982	4.0166	2.9519e-05	0.99997	5.9038e-05	0.0035242	False
s_2073_r0	TRAF3	2834	2315.5	2834	2315.5	-0.29135	1.3438e+05	17360	3.9346	4.1669e-05	0.99996	8.3337e-05	0.0048752	False
s_936_r0	IRAK1	4808.1	4102.2	4808.1	4102.2	-0.22901	2.4912e+05	32283	3.9286	4.2726e-05	0.99996	8.5452e-05	0.0049009	False
s_1948_r0	TICAM1	4299.3	3644.5	4299.3	3644.5	-0.23831	2.1436e+05	28308	3.8916	4.9791e-05	0.99995	9.9582e-05	0.0056015	False
s_1353_r0	NIPBL	3503.8	2924.6	3503.8	2924.6	-0.26061	1.6776e+05	22265	3.8819	5.1821e-05	0.99995	0.00010364	0.0057199	False
s_1651_r0	RELA	2886.2	2384.9	2886.2	2384.9	-0.27511	1.2563e+05	17736	3.7638	8.3659e-05	0.99992	0.00016732	0.0090631	False
s_950_r0	IRF1	3823.8	3234.6	3823.8	3234.6	-0.24137	1.736e+05	24669	3.7516	8.7857e-05	0.99991	0.00017571	0.0093448	False
s_2038_r0	TNFAIP3	8965.1	8009.8	8965.1	8009.8	-0.16254	4.5633e+05	67195	3.6854	0.00011416	0.99989	0.00022832	0.011926	False
s_1924_r0	TBK1	4482.6	5098.7	4482.6	5098.7	0.18577	1.8981e+05	29731	3.5733	0.99982	0.00017624	0.00035248	0.018088	True
s_1139_r0	MAP2K3	3428.3	2906.6	3428.3	2906.6	-0.23809	1.3609e+05	21703	3.5414	0.00019902	0.9998	0.00039803	0.020073	False
s_1947_r0	TICAM1	4349.3	3751.7	4349.3	3751.7	-0.21316	1.7852e+05	28695	3.5275	0.00020979	0.99979	0.00041958	0.020801	False
s_2535_r0	Non-Targeting Control	4695.9	5305	4695.9	5305	0.17593	1.8554e+05	31399	3.4377	0.99971	0.0002933	0.00058659	0.028596	True
s_2091_r0	TRIB1	3346.1	2854.3	3346.1	2854.3	-0.22925	1.2091e+05	21093	3.3859	0.00035468	0.99965	0.00070935	0.034014	False
s_660_r0	FOS	3609.4	4120.2	3609.4	4120.2	0.19092	1.3048e+05	23054	3.3645	0.99962	0.00038344	0.00076689	0.03618	True
s_1946_r0	TICAM1	3667.2	3153.5	3667.2	3153.5	-0.21766	1.3194e+05	23487	3.3518	0.00040138	0.9996	0.00080276	0.037271	False
s_1190_r0	MAPKAPK2	3796	3276	3796	3276	-0.21249	1.3521e+05	24459	3.3251	0.00044196	0.99956	0.00088392	0.040398	False
s_2458_r0	Non-Targeting Control	3173.9	2720.1	3173.9	2720.1	-0.22253	1.0297e+05	19826	3.223	0.00063429	0.99937	0.0012686	0.057086	False
s_1632_r0	RC3H1	2820.6	3234.6	2820.6	3234.6	0.19748	85667	17265	3.1502	0.99918	0.00081573	0.0016315	0.072246	True
s_1457_r0	PELI1	5091.4	4506.8	5091.4	4506.8	-0.17592	1.7088e+05	34529	3.1461	0.00082743	0.99917	0.0016549	0.072246	False
s_186_r0	BUD13	569.9	731.6	569.9	731.6	0.35979	13074	2670.6	3.129	0.99912	0.00087687	0.0017537	0.075437	True
s_422_r0	CSNK1A1	2304.1	1940.7	2304.1	1940.7	-0.24745	66000	13622	3.1129	0.00092629	0.99907	0.0018526	0.078533	False
s_2266_r0	MERTK	603.23	766.74	603.23	766.74	0.34552	13368	2852.9	3.0613	0.9989	0.0011018	0.0022036	0.092079	True
s_843_r0	IER3	4036	3540.9	4036	3540.9	-0.18876	1.2256e+05	26283	3.0538	0.0011298	0.99887	0.0022596	0.09309	False
s_951_r0	IRF1	4302.6	3794.1	4302.6	3794.1	-0.18142	1.293e+05	28334	3.0211	0.0012593	0.99874	0.0025186	0.10232	False
s_671_r0	FUT2	278.84	176.59	278.84	176.59	-0.65603	5227.3	1166.2	2.9941	0.0013762	0.99862	0.0027524	0.11028	False
s_545_r0	DRAP1	5666.8	5081.6	5666.8	5081.6	-0.15723	1.7125e+05	39161	2.9573	0.0015517	0.99845	0.0031034	0.12267	False
s_546_r0	DRAP1	2225.2	1891.2	2225.2	1891.2	-0.23452	55777	13078	2.9206	0.0017466	0.99825	0.0034933	0.13446	False
s_2291_r0	MAF	2897.3	2507.5	2897.3	2507.5	-0.2084	75983	17816	2.9206	0.0017469	0.99825	0.0034937	0.13446	False
s_650_r0	FLI1	4540.3	4036.4	4540.3	4036.4	-0.16968	1.2696e+05	30181	2.9005	0.0018627	0.99814	0.0037253	0.14151	False
s_658_r0	FOS	3365	3784.2	3365	3784.2	0.16933	87854	21233	2.8767	0.99799	0.0020095	0.004019	0.15071	True
s_2561_r0	Non-Targeting Control	618.78	464.01	618.78	464.01	-0.4145	11977	2938.5	2.8552	0.0021507	0.99785	0.0043014	0.15926	False
s_1343_r0	NFKBIZ	2292.9	1963.3	2292.9	1963.3	-0.22385	54346	13545	2.8327	0.0023076	0.99769	0.0046152	0.16874	False
s_844_r0	IER3	3842.7	3398.5	3842.7	3398.5	-0.17715	98632	24812	2.8196	0.0024039	0.9976	0.0048078	0.17277	False
s_1332_r0	NFKBIA	2618.4	2264.2	2618.4	2264.2	-0.20963	62748	15824	2.8162	0.0024298	0.99757	0.0048596	0.17277	False
s_1341_r0	NFKBIZ	3412.8	2999.4	3412.8	2999.4	-0.18621	85432	21587	2.8134	0.0024513	0.99755	0.0049026	0.17277	False
s_1952_r0	TICAM2	2457.4	2119.1	2457.4	2119.1	-0.21354	57200	14689	2.7907	0.0026299	0.99737	0.0052598	0.18315	False
s_537_r0	DOCK8	2677.3	2322.8	2677.3	2322.8	-0.20487	62860	16241	2.7822	0.0026995	0.9973	0.005399	0.18579	False
s_2036_r0	TNF	4519.2	4041.8	4519.2	4041.8	-0.16103	1.1395e+05	30017	2.7554	0.0029306	0.99707	0.0058613	0.19935	False
s_1235_r0	MITF	2065.2	2364.2	2065.2	2364.2	0.19498	44699	11984	2.7312	0.99684	0.003155	0.00631	0.21215	True
s_1776_r0	SGMS1	2280.7	1966	2280.7	1966	-0.21416	49538	13461	2.713	0.003334	0.99667	0.0066681	0.22164	False
s_421_r0	CSNK1A1	2257.4	1951.5	2257.4	1951.5	-0.20994	46772	13300	2.6521	0.004	0.996	0.008	0.26292	False
s_1140_r0	MAP2K3	4341.5	3895.9	4341.5	3895.9	-0.1562	99280	28635	2.6333	0.004228	0.99577	0.008456	0.27482	False
s_659_r0	FOS	2335.2	2636.3	2335.2	2636.3	0.17492	45342	13838	2.56	0.99477	0.005234	0.010468	0.33647	True
s_2199_r0	XPR1	3824.9	4221.1	3824.9	4221.1	0.14217	78501	24677	2.5223	0.99417	0.0058289	0.011658	0.37064	True
s_1795_r0	SLC12A5	5240.2	4764.4	5240.2	4764.4	-0.13729	1.1318e+05	35719	2.5174	0.0059105	0.99409	0.011821	0.37179	False
s_1274_r0	MYCBP2	3005	3347.2	3005	3347.2	0.15551	58528	18595	2.509	0.99395	0.0060539	0.012108	0.37676	True
s_1326_r0	NFKB2	3472.7	3104.8	3472.7	3104.8	-0.16152	67686	22033	2.4787	0.0065927	0.99341	0.013185	0.40597	False
s_657_r0	FOS	2568.5	2875.1	2568.5	2875.1	0.16263	47004	15470	2.4651	0.99315	0.0068488	0.013698	0.4133	True
s_1109_r0	LY96	3362.8	3003.9	3362.8	3003.9	-0.16276	64390	21217	2.4637	0.0068759	0.99312	0.013752	0.4133	False
s_218_r0	C6orf47	2546.2	2241.7	2546.2	2241.7	-0.18372	46381	15314	2.4612	0.0069236	0.99308	0.013847	0.4133	False
s_1660_r0	RFWD2	4146	3751.7	4146	3751.7	-0.14412	77712	27126	2.3937	0.0083407	0.99166	0.016681	0.49286	False
s_1335_r0	NFKBIB	875.41	1031.6	875.41	1031.6	0.23666	12203	4399.8	2.3553	0.99075	0.0092548	0.01851	0.5414	True
s_1328_r0	NFKB2	2171.9	1907.4	2171.9	1907.4	-0.18723	34969	12712	2.3456	0.0094986	0.9905	0.018997	0.55017	False
s_474_r0	CYLD	3531.6	3877	3531.6	3877	0.13456	59630	22472	2.3037	0.98938	0.01062	0.021239	0.60907	True
s_1427_r0	P2RY11	1951.9	2194.8	1951.9	2194.8	0.16914	29506	11219	2.2935	0.98909	0.01091	0.02182	0.61963	True
s_802_r0	HLA-DRB1	3778.2	3422.9	3778.2	3422.9	-0.14247	63149	24324	2.2786	0.011344	0.98866	0.022688	0.63811	False
s_933_r0	IRAK1	3721.6	3373.3	3721.6	3373.3	-0.14171	60650	23897	2.253	0.01213	0.98787	0.02426	0.67581	False
s_2890_r0	Non-Targeting Control	1981.9	2221.8	1981.9	2221.8	0.1648	28790	11421	2.2454	0.98763	0.012372	0.024744	0.68279	True
s_714_r0	GPSM3	3970.4	3611.2	3970.4	3611.2	-0.1368	64536	25783	2.2374	0.012629	0.98737	0.025258	0.69048	False
s_1371_r0	NOD1	2947.3	2648.9	2947.3	2648.9	-0.15393	44511	18177	2.213	0.013447	0.98655	0.026895	0.7284	False
s_1623_r0	RBCK1	2923.9	2628.2	2923.9	2628.2	-0.15379	43736	18008	2.2039	0.013764	0.98624	0.027528	0.73871	False
s_31_r0	ADO	2602.9	2877.8	2602.9	2877.8	0.14478	37777	15714	2.1928	0.98584	0.014162	0.028324	0.75315	True
s_842_r0	IER3	3573.8	3247.2	3573.8	3247.2	-0.13825	53356	22787	2.164	0.015232	0.98477	0.030464	0.80277	False
s_503_r0	DEPDC5	3146.1	3448.1	3146.1	3448.1	0.13218	45590	19623	2.1556	0.98444	0.015558	0.031116	0.81262	True
s_139_r0	ATXN7L3	2434	2175	2434	2175	-0.16227	33551	14526	2.1493	0.015807	0.98419	0.031614	0.81832	False
s_2499_r0	Non-Targeting Control	4213.7	3857.1	4213.7	3857.1	-0.12753	63577	27648	2.1446	0.015994	0.98401	0.031989	0.82076	False
s_1492_r0	PLEKHB2	3015	3306.6	3015	3306.6	0.13314	42513	18668	2.1342	0.98359	0.016414	0.032828	0.83498	True
s_1418_r0	OTUD7B	6.6655	15.317	6.6655	15.317	1.0899	37.423	16.51	2.1291	0.9825	0.017505	0.035009	0.86382	True
s_316_r0	CDK1	2485.1	2744.4	2485.1	2744.4	0.14312	33614	14884	2.1253	0.98322	0.016782	0.033564	0.83988	True
s_1034_r0	KIF15	577.68	688.36	577.68	688.36	0.25249	6124.7	2712.9	2.1249	0.9832	0.016798	0.033595	0.83988	True
s_308_r0	CD47	4710.3	5084.3	4710.3	5084.3	0.1102	69930	31513	2.1067	0.98243	0.017572	0.035144	0.86382	True
s_46_r0	AKIRIN2	1748.6	1540.7	1748.6	1540.7	-0.1825	21611	9864.5	2.0932	0.018165	0.98183	0.036331	0.88557	False
s_2076_r0	TRAF3	4171.5	3828.3	4171.5	3828.3	-0.12383	58895	27323	2.0763	0.018933	0.98107	0.037866	0.89891	False
s_1433_r0	PAF1	1274.2	1445.2	1274.2	1445.2	0.1815	14614	6815.9	2.0708	0.98081	0.01919	0.038379	0.89891	True
s_66_r0	AP3B1	3527.2	3837.3	3527.2	3837.3	0.12155	48093	22439	2.0704	0.98079	0.019207	0.038413	0.89891	True
s_2226_r0	ZEB2	2651.8	2389.4	2651.8	2389.4	-0.15023	34412	16060	2.0701	0.019219	0.98078	0.038439	0.89891	False
s_999_r0	JAZF1	3957.1	4288.7	3957.1	4288.7	0.11607	54982	25681	2.0693	0.98074	0.01926	0.038521	0.89891	True
s_523_r0	DLG5	3082.8	2796.7	3082.8	2796.7	-0.14049	40937	19161	2.0671	0.019361	0.98064	0.038722	0.89891	False
s_1166_r0	MAP3K8	4129.3	3791.4	4129.3	3791.4	-0.12315	57098	26998	2.0566	0.019861	0.98014	0.039721	0.91484	False
s_610_r0	ERCC6	3313.9	3608.5	3313.9	3608.5	0.12283	43390	20855	2.0399	0.97932	0.020682	0.041364	0.94522	True
s_485_r0	DBF4	746.54	869.46	746.54	869.46	0.21962	7554.2	3655.3	2.033	0.97898	0.021024	0.042049	0.94579	True
s_2833_r0	Non-Targeting Control	3226.1	3514.8	3226.1	3514.8	0.12359	41658	20209	2.0304	0.97884	0.021156	0.042312	0.94579	True
s_1406_r0	OAS2	5182.5	5563.6	5182.5	5563.6	0.10237	72643	35256	2.03	0.97882	0.021179	0.042358	0.94579	True
s_752_r0	HDAC3	1086.5	934.33	1086.5	934.33	-0.21745	11576	5659.3	2.0226	0.021559	0.97844	0.043118	0.95544	False
s_321_r0	CEBPB	2504	2259.7	2504	2259.7	-0.14806	29850	15017	1.9939	0.023083	0.97692	0.046166	0.99724	False
s_855_r0	IFNGR2	758.76	880.27	758.76	880.27	0.21404	7382.1	3725	1.9908	0.97675	0.023249	0.046498	0.99724	True
s_219_r0	C6orf47	3527.2	3229.1	3527.2	3229.1	-0.12732	44410	22439	1.9896	0.02332	0.97668	0.046639	0.99724	False
s_1138_r0	MAP2K3	2158.5	1935.3	2158.5	1935.3	-0.15739	24908	12620	1.9868	0.023474	0.97653	0.046949	0.99724	False
s_1649_r0	RELA	705.44	589.25	705.44	589.25	-0.25924	6749.8	3422.3	1.9861	0.02351	0.97649	0.04702	0.99724	False
s_2612_r0	Non-Targeting Control	281.06	348.68	281.06	348.68	0.31003	2286.2	1176.9	1.9711	0.97564	0.024359	0.048717	0.99724	True
s_1218_r0	MIB2	1819.7	2020	1819.7	2020	0.1506	20066	10335	1.9706	0.97561	0.024388	0.048775	0.99724	True
s_22_r0	ACVR1B	1247.6	1408.2	1247.6	1408.2	0.17465	12909	6649.8	1.9704	0.97561	0.024393	0.048787	0.99724	True
s_1625_r0	RBX1	4194.8	3869.8	4194.8	3869.8	-0.11635	52841	27502	1.9603	0.024982	0.97502	0.049964	0.99724	False
s_1133_r0	MAP2K2	3507.2	3215.6	3507.2	3215.6	-0.12517	42500	22290	1.9528	0.025422	0.97458	0.050844	0.99724	False
s_1695_r0	RNF31	3846	3540	3846	3540	-0.11959	46824	24837	1.9418	0.026082	0.97392	0.052164	0.99724	False
s_466_r0	CYBA	2816.2	2561.5	2816.2	2561.5	-0.13669	32429	17233	1.94	0.026189	0.97381	0.052379	0.99724	False
s_1366_r0	NLRX1	4332.6	4659	4332.6	4659	0.10477	53277	28566	1.9313	0.97328	0.02672	0.053441	0.99724	True
s_2461_r0	Non-Targeting Control	4352.6	4027.4	4352.6	4027.4	-0.11199	52866	28721	1.9187	0.027511	0.97249	0.055022	0.99724	False
s_2828_r0	Non-Targeting Control	4471.5	4801.4	4471.5	4801.4	0.10268	54422	29644	1.9162	0.97233	0.027672	0.055344	0.99724	True
s_45_r0	AKIRIN2	2159.6	1945.2	2159.6	1945.2	-0.15077	22982	12628	1.9079	0.028205	0.97179	0.05641	0.99724	False
s_685_r0	GHITM	1609.7	1790.3	1609.7	1790.3	0.15327	16298	8955.1	1.9078	0.97179	0.028206	0.056412	0.99724	True
s_2269_r0	GAS6	1406.4	1239.8	1406.4	1239.8	-0.18183	13889	7648.5	1.9057	0.028344	0.97166	0.056688	0.99724	False
s_2901_r0	Non-Targeting Control	291.06	357.69	291.06	357.69	0.29648	2219.9	1225.5	1.9034	0.9715	0.028496	0.056991	0.99724	True
s_2002_r0	TMED7-TICAM2	3100.6	2837.2	3100.6	2837.2	-0.12802	34681	19290	1.8962	0.028965	0.97103	0.05793	0.99724	False
s_1377_r0	NOTCH4	3924.9	3622.9	3924.9	3622.9	-0.11548	45604	25436	1.8936	0.029139	0.97086	0.058278	0.99724	False
s_1320_r0	NFIC	2023	2226.3	2023	2226.3	0.13812	20677	11698	1.8802	0.96996	0.030041	0.060082	0.99724	True
s_1129_r0	MAP2K1	3477.2	3198.5	3477.2	3198.5	-0.12048	38829	22066	1.876	0.030329	0.96967	0.060658	0.99724	False
s_388_r0	COMMD7	736.54	624.39	736.54	624.39	-0.23798	6289.4	3598.4	1.8697	0.030766	0.96923	0.061531	0.99724	False
s_1355_r0	NIPBL	2998.4	2745.3	2998.4	2745.3	-0.12717	32020	18547	1.8582	0.031571	0.96843	0.063141	0.99724	False
s_2108_r0	TTC33	3125	3384.1	3125	3384.1	0.11488	33565	19469	1.8569	0.96834	0.031661	0.063322	0.99724	True
s_1841_r0	SNX13	1888.6	2081.3	1888.6	2081.3	0.14011	18571	10794	1.855	0.9682	0.031801	0.063602	0.99724	True
s_648_r0	FGF12	2430.7	2208.3	2430.7	2208.3	-0.13836	24724	14503	1.8465	0.03241	0.96759	0.064821	0.99724	False
s_552_r0	DSG1	2630.7	2862.4	2630.7	2862.4	0.12178	26862	15910	1.8376	0.96694	0.033063	0.066126	0.99724	True
s_882_r0	IL12B	2955.1	3203	2955.1	3203	0.11621	30744	18233	1.8364	0.96685	0.033149	0.066299	0.99724	True
s_2771_r0	Non-Targeting Control	3078.4	3331.9	3078.4	3331.9	0.11413	32130	19128	1.8329	0.96659	0.033409	0.066819	0.99724	True
s_931_r0	IQCH	1946.3	1754.2	1946.3	1754.2	-0.14984	18453	11181	1.8168	0.034627	0.96537	0.069254	0.99724	False
s_1659_r0	RFWD2	2408.5	2191.2	2408.5	2191.2	-0.13634	23603	14348	1.8139	0.034848	0.96515	0.069697	0.99724	False
s_350_r0	CHUK	3212.8	3467.9	3212.8	3467.9	0.11021	32544	20111	1.799	0.96399	0.036009	0.072017	0.99724	True
s_2855_r0	Non-Targeting Control	4177.1	4474.3	4177.1	4474.3	0.099155	44179	27366	1.7969	0.96382	0.036177	0.072353	0.99724	True
s_1291_r0	NCAPD2	1689.7	1863.2	1689.7	1863.2	0.14096	15057	9477.3	1.7826	0.96267	0.037329	0.074657	0.99724	True
s_1049_r0	KRAS	4298.2	4596.9	4298.2	4596.9	0.096906	44609	28299	1.7756	0.9621	0.037901	0.075803	0.99724	True
s_1108_r0	LST1	2609.6	2386.7	2609.6	2386.7	-0.12872	24827	15761	1.775	0.037952	0.96205	0.075903	0.99724	False
s_1971_r0	TLR2	2849.5	3084.1	2849.5	3084.1	0.11409	27513	17472	1.7746	0.96202	0.037979	0.075958	0.99724	True
s_973_r0	IRF8	3157.2	2908.4	3157.2	2908.4	-0.1184	30962	19704	1.7728	0.038135	0.96187	0.07627	0.99724	False
s_223_r0	CARD10	3910.4	4192.3	3910.4	4192.3	0.10039	39723	25326	1.7711	0.96173	0.03827	0.076539	0.99724	True
s_2510_r0	Non-Targeting Control	4874.7	4554.5	4874.7	4554.5	-0.098006	51270	32809	1.7679	0.038541	0.96146	0.077083	0.99724	False
s_2279_r0	CUL5	3232.8	3484.1	3232.8	3484.1	0.10799	31587	20258	1.7659	0.9613	0.038704	0.077408	0.99724	True
s_1943_r0	TGIF1	3923.8	4204.9	3923.8	4204.9	0.099811	39521	25428	1.7631	0.96106	0.038942	0.077884	0.99724	True
s_837_r0	ICAM1	2166.3	2364.2	2166.3	2364.2	0.12606	19582	12674	1.7579	0.96062	0.039382	0.078764	0.99724	True
s_516_r0	DLEC1	4333.7	4630.2	4333.7	4630.2	0.095448	43951	28574	1.7539	0.96028	0.039722	0.079444	0.99724	True
s_1496_r0	POLR2E	482.14	400.04	482.14	400.04	-0.2687	3370.2	2199.2	1.7507	0.04	0.96	0.079999	0.99724	False
s_1322_r0	NFKB1	2136.3	2331.8	2136.3	2331.8	0.12625	19102	12469	1.7504	0.95998	0.04002	0.080041	0.99724	True
s_1760_r0	SEC61A1	5626.8	5283.4	5626.8	5283.4	-0.090835	58966	38836	1.7426	0.040702	0.9593	0.081404	0.99724	False
s_1751_r0	SBNO2	2358.5	2152.5	2358.5	2152.5	-0.13181	21222	14000	1.7412	0.040823	0.95918	0.081645	0.99724	False
s_27_r0	ADCY4	1911.9	2093.9	1911.9	2093.9	0.13112	16563	10950	1.7393	0.95901	0.040992	0.081984	0.99724	True
s_2902_r0	Non-Targeting Control	18.886	31.535	18.886	31.535	0.71025	79.998	53.439	1.7303	0.95801	0.041992	0.083983	0.99724	True
